column,dtype,description
record_id,object,Unique synthetic record ID
collection_month,datetime64[ns],Month of collection
year,int64,Calendar year
month,int64,Month number
month_name,object,Month abbreviation
city,object,City
state,object,State/UT
e_waste_type,object,E-waste category
collection_channel,object,Collection channel
sector,object,Formal or informal sector
e_waste_collected_kg,int64,Total collected kg
formal_collected_kg,float64,Formal collection kg
informal_collected_kg,float64,Informal collection kg
material_recovered_kg,float64,Material recovered kg
disposed_kg,float64,Disposed/not recovered kg
hazardous_kg,float64,Estimated hazardous e-waste kg
estimated_jobs_supported,int64,Estimated jobs supported
estimated_revenue_inr,float64,Estimated revenue INR
recovery_rate_pct,float64,Recovery rate %
compliance_score_pct,float64,Compliance score %
worker_safety_score_pct,float64,Worker safety score %
primary_material,object,Primary material
recycling_method,object,Recycling method
quarter,object,Calendar quarter
formal_share_pct,float64,Formal collection share %
informal_share_pct,float64,Informal collection share %
recovery_value_inr_per_kg,float64,Estimated recovered-material value INR/kg
