record_id,collection_month,year,month,month_name,city,state,e_waste_type,collection_channel,sector,e_waste_collected_kg,formal_collected_kg,informal_collected_kg,material_recovered_kg,disposed_kg,hazardous_kg,estimated_jobs_supported,estimated_revenue_inr,recovery_rate_pct,compliance_score_pct,worker_safety_score_pct,primary_material,recycling_method,quarter,formal_share_pct,informal_share_pct,recovery_value_inr_per_kg
EW100548,2023-01-01,2023,1,Jan,Guwahati,Assam,Small Appliance,Scrap Dealer,Informal,700,27.89,672.11,380.16,319.84,59.86,1,13824.71,54.31,37.35,31.67,Aluminium,Refurbishment,Q1,3.98,96.02,36.37
EW100901,2023-01-01,2023,1,Jan,Guwahati,Assam,Refrigerator,Authorized Collection Center,Formal,1385,1340.44,44.56,1006.72,378.28,131.81,3,134370.95,72.69,89.57,88.56,Non-ferrous Metals,Manual Sorting,Q1,96.78,3.22,133.47
EW100446,2023-01-01,2023,1,Jan,Delhi,Delhi,Mobile Phone,Authorized Collection Center,Formal,698,635.7,62.3,627.09,70.91,55.18,1,43484.18,89.84,78.96,77.99,Non-ferrous Metals,Landfill/Disposal,Q1,91.07,8.93,69.34
EW101115,2023-01-01,2023,1,Jan,Delhi,Delhi,Printer,Scrap Dealer,Informal,194,36.66,157.34,55.03,138.97,8.99,1,7140.68,28.36,10.83,28.34,Non-ferrous Metals,Refurbishment,Q1,18.9,81.1,129.76
EW100014,2023-01-01,2023,1,Jan,Ahmedabad,Gujarat,Desktop/PC,Authorized Collection Center,Formal,4141,3730.64,410.36,3061.95,1079.05,189.43,10,336545.75,73.94,81.26,98.91,Aluminium,Repair & Reuse,Q1,90.09,9.91,109.91
EW101074,2023-01-01,2023,1,Jan,Ahmedabad,Gujarat,Small Appliance,Retailer,Formal,2562,1982.79,579.21,2359.08,202.92,126.59,3,184168.83,92.08,93.44,85.26,Ferrous Metals,Refurbishment,Q1,77.39,22.61,78.07
EW100592,2023-01-01,2023,1,Jan,Surat,Gujarat,Mobile Phone,Scrap Dealer,Informal,522,125.83,396.17,338.8,183.2,57.33,2,30245.73,64.9,14.25,53.07,Precious Metals,Material Recovery,Q1,24.11,75.89,89.27
EW100908,2023-01-01,2023,1,Jan,Surat,Gujarat,Printer,Scrap Dealer,Informal,928,48.17,879.83,537.29,390.71,69.99,4,87877.13,57.9,5.97,37.23,Non-ferrous Metals,Repair & Reuse,Q1,5.19,94.81,163.56
EW100414,2023-01-01,2023,1,Jan,Mysuru,Karnataka,Desktop/PC,Informal Collector,Informal,4302,150.06,4151.94,2677.56,1624.44,148.62,14,439425.31,62.24,15.51,41.25,Precious Metals,Landfill/Disposal,Q1,3.49,96.51,164.11
EW100529,2023-01-01,2023,1,Jan,Mysuru,Karnataka,Refrigerator,Informal Collector,Informal,3289,731.37,2557.63,2060.51,1228.49,353.8,11,194702.85,62.65,18.32,25.62,Copper,Refurbishment,Q1,22.24,77.76,94.49
EW100551,2023-01-01,2023,1,Jan,Bhopal,Madhya Pradesh,Mobile Phone,Producer Take-back,Formal,4639,4279.08,359.92,3312.54,1326.46,390.08,3,354929.21,71.41,78.72,79.39,Ferrous Metals,Repair & Reuse,Q1,92.24,7.76,107.15
EW100617,2023-01-01,2023,1,Jan,Bhopal,Madhya Pradesh,Monitor,Retailer,Formal,382,355.06,26.94,326.22,55.78,36.64,1,43570.47,85.4,89.62,93.46,Non-ferrous Metals,Manual Sorting,Q1,92.95,7.05,133.56
EW100710,2023-01-01,2023,1,Jan,Indore,Madhya Pradesh,Laptop,Authorized Collection Center,Formal,1052,991.03,60.97,934.85,117.15,35.48,1,37425.59,88.86,77.45,89.43,Mixed/Other,Manual Sorting,Q1,94.2,5.8,40.03
EW101144,2023-01-01,2023,1,Jan,Indore,Madhya Pradesh,Mobile Phone,Authorized Collection Center,Formal,4489,3879.78,609.22,3962.55,526.45,181.87,6,162792.64,88.27,91.39,82.38,Non-ferrous Metals,Landfill/Disposal,Q1,86.43,13.57,41.08
EW100025,2023-01-01,2023,1,Jan,Mumbai,Maharashtra,Television,Authorized Collection Center,Formal,639,490.46,148.54,589.8,49.2,55.88,1,76839.4,92.3,85.46,92.52,Plastic,Repair & Reuse,Q1,76.75,23.25,130.28
EW100568,2023-01-01,2023,1,Jan,Mumbai,Maharashtra,Refrigerator,Informal Collector,Informal,4585,216.35,4368.65,2762.01,1822.99,355.22,20,439736.5,60.24,42.11,62.74,Mixed/Other,Refurbishment,Q1,4.72,95.28,159.21
EW100110,2023-01-01,2023,1,Jan,Nagpur,Maharashtra,Television,Municipal Collection,Formal,1088,948.75,139.25,934.52,153.48,71.55,1,125660.56,85.89,75.42,82.76,Copper,Refurbishment,Q1,87.2,12.8,134.47
EW100226,2023-01-01,2023,1,Jan,Nagpur,Maharashtra,Mobile Phone,Scrap Dealer,Informal,3687,411.75,3275.25,2138.15,1548.85,281.72,11,88911.59,57.99,16.6,61.9,Precious Metals,Landfill/Disposal,Q1,11.17,88.83,41.58
EW100434,2023-01-01,2023,1,Jan,Nagpur,Maharashtra,Television,Producer Take-back,Formal,3024,2894.19,129.81,2401.58,622.42,101.59,4,371828.78,79.42,91.84,86.02,Copper,Refurbishment,Q1,95.71,4.29,154.83
EW100209,2023-01-01,2023,1,Jan,Nashik,Maharashtra,Mobile Phone,Authorized Collection Center,Formal,1628,1196.75,431.25,1154.24,473.76,124.42,2,180228.52,70.9,75.35,84.1,Mixed/Other,Dismantling,Q1,73.51,26.49,156.14
EW100375,2023-01-01,2023,1,Jan,Nashik,Maharashtra,Small Appliance,Municipal Collection,Formal,4040,3752.25,287.75,3777.43,262.57,341.51,6,613341.76,93.5,97.86,93.11,Mixed/Other,Material Recovery,Q1,92.88,7.12,162.37
EW100139,2023-01-01,2023,1,Jan,Pune,Maharashtra,Television,Producer Take-back,Formal,321,234.33,86.67,293.54,27.46,22.96,1,38338.32,91.45,96.48,90.28,Precious Metals,Refurbishment,Q1,73.0,27.0,130.61
EW100179,2023-01-01,2023,1,Jan,Jaipur,Rajasthan,Television,Authorized Collection Center,Formal,1535,1217.22,317.78,1126.41,408.59,117.41,1,40676.14,73.38,80.26,75.88,Glass,Refurbishment,Q1,79.3,20.7,36.11
EW100537,2023-01-01,2023,1,Jan,Chennai,Tamil Nadu,Mobile Phone,Informal Collector,Informal,4557,1208.66,3348.34,2837.61,1719.39,221.55,12,160787.25,62.27,25.4,40.73,Plastic,Manual Sorting,Q1,26.52,73.48,56.66
EW100973,2023-01-01,2023,1,Jan,Chennai,Tamil Nadu,Television,Authorized Collection Center,Formal,2526,2341.14,184.86,1972.49,553.51,162.98,2,199983.5,78.09,75.61,88.69,Non-ferrous Metals,Material Recovery,Q1,92.68,7.32,101.39
EW100362,2023-01-01,2023,1,Jan,Hyderabad,Telangana,Printer,Producer Take-back,Formal,458,405.77,52.23,348.01,109.99,49.18,1,23166.77,75.99,77.12,79.67,Plastic,Material Recovery,Q1,88.6,11.4,66.57
EW100132,2023-01-01,2023,1,Jan,Lucknow,Uttar Pradesh,Tablet,Scrap Dealer,Informal,3026,810.14,2215.86,1755.32,1270.68,272.24,5,183157.31,58.01,25.24,30.46,Copper,Repair & Reuse,Q1,26.77,73.23,104.34
EW100517,2023-01-01,2023,1,Jan,Lucknow,Uttar Pradesh,Mobile Phone,Scrap Dealer,Informal,3321,708.23,2612.77,1412.24,1908.76,344.06,11,239825.89,42.52,42.91,23.12,Ferrous Metals,Manual Sorting,Q1,21.33,78.67,169.82
EW100945,2023-01-01,2023,1,Jan,Lucknow,Uttar Pradesh,Monitor,Producer Take-back,Formal,523,415.9,107.1,471.18,51.82,36.29,1,81680.07,90.09,93.56,97.38,Aluminium,Landfill/Disposal,Q1,79.52,20.48,173.35
EW100465,2023-01-01,2023,1,Jan,Kolkata,West Bengal,Mobile Phone,Informal Collector,Informal,635,92.59,542.41,386.72,248.28,70.93,1,66049.05,60.9,38.02,55.61,Mixed/Other,Landfill/Disposal,Q1,14.58,85.42,170.79
EW100600,2023-01-01,2023,1,Jan,Kolkata,West Bengal,Printer,Authorized Collection Center,Formal,4434,3876.1,557.9,4094.17,339.83,403.63,6,552641.35,92.34,83.26,81.65,Ferrous Metals,Manual Sorting,Q1,87.42,12.58,134.98
EW100029,2023-02-01,2023,2,Feb,Guwahati,Assam,Printer,Authorized Collection Center,Formal,855,701.27,153.73,732.92,122.08,51.86,1,78368.08,85.72,91.63,83.36,Plastic,Manual Sorting,Q1,82.02,17.98,106.93
EW100397,2023-02-01,2023,2,Feb,Guwahati,Assam,Mobile Phone,Retailer,Formal,675,564.81,110.19,560.37,114.63,54.93,1,45251.26,83.02,77.56,83.8,Non-ferrous Metals,Repair & Reuse,Q1,83.68,16.32,80.75
EW100034,2023-02-01,2023,2,Feb,Delhi,Delhi,Television,Authorized Collection Center,Formal,3799,3104.96,694.04,2949.42,849.58,391.87,9,524908.39,77.64,93.08,84.03,Precious Metals,Material Recovery,Q1,81.73,18.27,177.97
